start	end	text
0	3280	Vamos lá, eu tô saindo aqui do H.A.E.
3280	8840	O hospital de esperança que eu sou voluntária e tô indo embora a pé pra casa.
8840	15180	E aí, agora eu vou começar a ouvir o seu áudio e vou te responder.
15180	19020	Não fique bravo comigo, sempre vou falar com você.
19020	21440	Vocês não conhefigam hora, mas eu vou.
21440	23680	Deixa eu te falar um negócio.
23680	26520	Você começou falando aí do linkedinho.
26520	37000	Ele você consegue através das impressões, no sua paz, no seus textos, saber cidade, isso no grátis, tá?
37000	41700	Cidade, de estados da pessoa, a carga, alguma coisa assim.
41700	46100	Depois eu tira um crinco lá de casa e te mando pra você ver.
