09-16 15:00:00.293 23970 23970 E AndroidRuntime: FATAL EXCEPTION: main
09-16 15:00:00.293 23970 23970 E AndroidRuntime: Process: br.com.wanotifkeeper, PID: 23970
09-16 15:00:00.293 23970 23970 E AndroidRuntime: java.lang.IllegalStateException: A migration from 6 to 5 was required but not found. Please provide the necessary Migration path via RoomDatabase.Builder.addMigration(Migration ...) or allow for destructive migrations via one of the RoomDatabase.Builder.fallbackToDestructiveMigration* methods.
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at br.com.wanotifkeeper.NotifDao_Impl$24.call(NotifDao_Impl.java:808)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at br.com.wanotifkeeper.NotifDao_Impl$24.call(NotifDao_Impl.java:804)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1100)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	Suppressed: kotlinx.coroutines.internal.DiagnosticCoroutineContextException: [StandaloneCoroutine{Cancelling}@f587e05, Dispatchers.Main.immediate]
09-18 16:57:35.127  1810  3566 D FreecessController: BG freezed, skip OLAF unfreeze for (com.whatsapp, 10329)
09-18 16:57:35.131  1810  1810 D OlafRestriction:  sending trigger onRestrictionStateChanged msg.
09-18 16:57:35.146  1810  4672 D ActivityTaskManager: scheduleTopResumedActivityChanged, onTop=false, r=ActivityRecord{189386060 u0 com.google.android.permissioncontroller/com.android.permissioncontroller.permission.ui.GrantPermissionsActivity t21422 f}}, caller=com.android.server.wm.ActivityTaskSupervisor.scheduleTopResumedActivityStateLossIfNeeded:19 com.android.server.wm.ActivityTaskSupervisor.updateTopResumedActivityIfNeeded:44 com.android.server.wm.TaskFragment.setResumedActivity:29 com.android.server.wm.ActivityRecord.setState:91 com.android.server.wm.TaskFragment.startPausing$1:231 com.android.server.wm.ActivityRecord.finishIfPossible:104 
09-18 16:57:35.152  1810  2205 I CocktailBarManagerServiceContainer: handleMessage: entry what = 6
09-18 16:57:35.153  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:35.159  1810  3594 D ActivityTaskManager: scheduleTopResumedActivityChanged, onTop=true, r=ActivityRecord{215385499 u0 com.zhiliaoapp.musically/com.ss.android.ugc.aweme.splash.SplashActivity t21422}, caller=com.android.server.wm.ActivityTaskSupervisor.scheduleTopResumedActivityStateIfNeeded:18 com.android.server.wm.ActivityTaskSupervisor.handleTopResumedStateReleasedIfNeeded:57 com.android.server.wm.ActivityRecord.activityPaused:94 com.android.server.wm.ActivityClientController.activityPaused:26 android.app.IActivityClientController$Stub.onTransact:812 com.android.server.wm.ActivityClientController.onTransact:1 
09-18 16:57:35.172  1810  2205 I CocktailBarManagerServiceContainer: handleMessage: entry what = 5
09-18 16:57:35.177  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:35.179  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:35.192  1810  1993 D ActivityManager: sync unfroze 14846 com.android.vending:background for 6
09-18 16:57:35.226  1810  1860 I ActivityManager: Start proc 23904:com.google.android.youtube/u0a260 for service {com.google.android.youtube/androidx.work.impl.background.systemjob.SystemJobService}
09-18 16:57:35.234  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:35.255  1810  1860 W ActivityManager: Slow operation: 72ms so far, now at startProcess: done updating battery stats
09-18 16:57:35.255  1810  1860 W ActivityManager: Slow operation: 72ms so far, now at startProcess: building log message
09-18 16:57:35.371  1810  3594 W JobScheduler: Job didn't exist in JobStore: b64474c #u0a247/1034 com.google.android.apps.photos/com.google.android.libraries.social.mediamonitor.MediaMonitorJobSchedulerService
09-18 16:57:35.632  1810  4675 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:35.647  1810  1873 D BatteryExternalStatsWorker: update stats : remove-uid (1)
09-18 16:57:35.677  1810  3020 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:35.824  1810  1873 D BatteryExternalStatsWorker: Update CPU state
09-18 16:57:35.824  1810  1873 D BatteryExternalStatsWorker: mStats lock released
09-18 16:57:35.824  1810  1873 D BatteryExternalStatsWorker: done updateExternalStatsLocked
09-18 16:57:35.927  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:36.006  1810  1993 W JobServiceContext: Sending onNetworkChanged for a job that isn't started. JobStatus{f4981ad androidx.work.systemjobscheduler:u0a260/22036 #des_dispatch_all_task#@androidx.work.systemjobscheduler@com.google.android.youtube/androidx.work.impl.background.systemjob.SystemJobService u=0 s=10260 TIME=-51s568ms:none NET READY}
09-18 16:57:36.274  1810  3566 D FreecessHandler: skipping freeze br.com.wanotifkeeper(10545) result : 2
09-18 16:57:36.282  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:36.339  1810  1849 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:36.339  1810  1849 D SGM:SemGameManager: isForegroundGame(), ret=false
09-18 16:57:36.345  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:36.412  1810  1849 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:36.414  1810  1849 D SGM:SemGameManager: isForegroundGame(), ret=false
09-18 16:57:36.809  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:36.810  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:36.811  1810  2531 W JobScheduler: Job didn't exist in JobStore: f4981ad {androidx.work.systemjobscheduler} #u0a260/22036 #des_dispatch_all_task#@androidx.work.systemjobscheduler@com.google.android.youtube/androidx.work.impl.background.systemjob.SystemJobService
09-18 16:57:37.206  1810  4600 I BatteryService_BatteryPropertiesRegistrar: [getProperty]id:4
09-18 16:57:37.206  1810  4600 I BatteryService_BatteryPropertiesRegistrar: [getProperty]prop.long:-9223372036854775808 ,prop.string:null
09-18 16:57:37.298  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10500, drop=false
09-18 16:57:37.302  1810  3534 D FreecessController: UFZ : com.artech.eaplic.havan(10500) [28124] reason: Binder(1)-android.service.notification.INotificatio
09-18 16:57:37.335  1810  1848 V WindowManager:     startWCT=WindowContainerTransaction { changes= {} hops= [] errorCallbackToken=null taskFragmentOrganizer=null }
09-18 16:57:37.617  1810  4617 V WindowManager: Setting visibility of Window{8b8454c u0 GoogleDiscoverWindow}: false, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:91 com.android.server.wm.ActivityRecord.commitVisibility:186 com.android.server.wm.TransitionController.finishTransition:989 com.android.server.wm.WindowOrganizerController.finishTransitionInner:34 
09-18 16:57:37.617  1810  4617 V WindowManager: Setting visibility of Window{5149c00 u0 com.sec.android.app.launcher/com.sec.android.app.launcher.activities.LauncherActivity}: false, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:91 com.android.server.wm.ActivityRecord.commitVisibility:186 com.android.server.wm.TransitionController.finishTransition:989 com.android.server.wm.WindowOrganizerController.finishTransitionInner:34 
09-18 16:57:37.618  1810  4617 V WindowManager: Setting visibility of Window{5d24f89 u0 com.android.systemui.wallpapers.ImageWallpaper}: false, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:91 com.android.server.wm.WallpaperWindowToken.setVisible$1:3 com.android.server.wm.WallpaperWindowToken.commitVisibility:48 com.android.server.wm.TransitionController.finishTransition:1397 
09-18 16:57:37.659  1810  1849 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:37.659  1810  1849 D SGM:SemGameManager: isForegroundGame(), ret=false
09-18 16:57:37.676  1810  1851 D SGM:FgCheckThread: getForegroundApp(), foregroundPkgName=com.zhiliaoapp.musically
09-18 16:57:37.677  1810  1851 D SGM:FgCheckThread: pkgName: com.google.android.permissioncontroller is not in foreground
09-18 16:57:37.679  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:37.684  1810  1849 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:37.684  1810  1849 D SGM:SemGameManager: isForegroundGame(), ret=false
09-18 16:57:37.691  1810  1851 D SGM:FgCheckThread: getForegroundApp(), foregroundPkgName=com.zhiliaoapp.musically
09-18 16:57:37.692  1810  1851 D SGM:FgCheckThread: pkgName: com.sec.android.app.launcher is in foreground
09-18 16:57:37.692  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:37.700  1810  1849 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:37.700  1810  1849 D SGM:SemGameManager: isForegroundGame(), ret=false
09-18 16:57:37.703  1810  1849 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:37.703  1810  1849 D SGM:SemGameManager: isForegroundGame(), ret=false
09-18 16:57:37.784  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:37.860  1810  4422 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
09-18 16:57:38.123  1810  1851 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.sendBroadcast:1374 com.android.server.input.InputKeyCounter.sendBroadcastKeyCountInternal:105 com.android.server.input.InputManagerService$KeyCountRunnable.run:41 android.os.Handler.handleCallback:1070 android.os.Handler.dispatchMessage:125 
09-18 16:57:38.196  1810  1851 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:38.196  1810  1851 D SGM:SemGameManager: isForegroundGame(), ret=false
09-18 16:57:38.296  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:38.441  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:38.637  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:38.658  1810  1857 I AppWidgetServiceImpl: handleSaveMessage 0
09-18 16:57:38.848  1810  2531 D SGM:GameManager: identifyForegroundApp. com.zhiliaoapp.musically, mCurrentUserId: 0, callerUserId: 0
09-18 16:57:39.131  1810  3566 D FreecessHandler: skipping freeze com.whatsapp.w4b(10328) result : 7
09-18 16:57:40.573  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:41.382   615   615 D io_stats: !@ Write_top(KB): kworker/u32:2:/(29759) 3432 f2fs_ckpt-254:6:/(818) 1144 system_server:high(1810) 1124
09-18 16:57:41.440  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:41.563  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:42.294  1810  3566 D FreecessHandler: skipping freeze br.com.wanotifkeeper(10545) result : 2
09-18 16:57:43.402  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:43.777  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:43.777  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:44.314  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10500, drop=false
09-18 16:57:44.325  1810  3534 D FreecessController: UFZ : com.artech.eaplic.havan(10500) [28124] reason: Binder(1)-android.service.notification.INotificatio
09-18 16:57:45.195  1810  3566 D FreecessHandler: skipping freeze com.whatsapp.w4b(10328) result : 7
09-18 16:57:45.385   615   615 D io_stats: !@ Write_top(KB): aoapp.musically:top(23882) 6192 f2fs_ckpt-254:6:/(818) 5292 kworker/u32:2:/(29759) 692
09-18 16:57:47.751  1810  1810 D SemApeController: updateAppState: type=0x10 (true) uid=10344 com.zhiliaoapp.musically (before=0x00 after=0x10) size=1, foreground uid=10344 com.zhiliaoapp.musically
09-18 16:57:48.136  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:48.161  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:48.186  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:48.228  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:48.305  1810  3566 D MARs:ActiveTrafficFilter: filter : br.com.wanotifkeeper(0)
09-18 16:57:48.305  1810  3566 D FreecessHandler: skipping freeze br.com.wanotifkeeper(10545) result : 8
09-18 16:57:48.349  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:48.354  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:48.439  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:49.387   615   615 D io_stats: !@ Write_top(KB): kworker/u32:0:/(23812) 6032 f2fs_ckpt-254:6:/(818) 5840 aoapp.musically:top(23882) 3372
09-18 16:57:49.686  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:49.711  1810  1860 W ActivityManager: Slow operation: 178ms so far, now at startProcess: done updating battery stats
09-18 16:57:49.711  1810  1860 W ActivityManager: Slow operation: 179ms so far, now at startProcess: building log message
09-18 16:57:49.746  1810  1860 W ActivityManager: Slow operation: 59ms so far, now at startProcess: done updating battery stats
09-18 16:57:49.746  1810  1860 W ActivityManager: Slow operation: 59ms so far, now at startProcess: building log message
09-18 16:57:49.970  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 16:57:51.205  1810  3566 D FreecessHandler: skipping freeze com.whatsapp.w4b(10328) result : 7
09-18 16:57:51.502  1810  1873 D BatteryExternalStatsWorker: update stats : procstate-change (10)
09-18 16:57:51.502  1810  1873 D BatteryExternalStatsWorker: Update Rail Energy data
09-18 16:57:51.502  1810  1873 D BatteryExternalStatsWorker: mStats lock released
09-18 16:57:51.502  1810  1873 D BatteryExternalStatsWorker: done updateExternalStatsLocked
09-18 16:57:51.579  1810  1873 D BatteryExternalStatsWorker: update stats : update-network-download (6)
09-18 16:57:51.579  1810  1873 D BatteryExternalStatsWorker: Update Rail Energy data
09-18 16:57:51.579  1810  1873 D BatteryExternalStatsWorker: mStats lock released
09-18 16:57:51.579  1810  1873 D BatteryExternalStatsWorker: done updateExternalStatsLocked
09-18 16:57:51.766  1810  2840 I BatteryService_BatteryPropertiesRegistrar: [getProperty]id:1
09-18 16:57:51.766  1810  2840 I BatteryService_BatteryPropertiesRegistrar: [getProperty]prop.long:-9223372036854775808 ,prop.string:null
09-18 16:57:51.769  1810  2840 I BatteryService_BatteryPropertiesRegistrar: [getProperty]id:4
09-18 16:57:51.769  1810  2840 I BatteryService_BatteryPropertiesRegistrar: [getProperty]prop.long:-9223372036854775808 ,prop.string:null
09-18 16:57:52.589  1810  2015 D ActivityManager: freezing 14846 com.android.vending:background
09-18 16:57:53.390   615   615 D io_stats: !@ Write_top(KB): kworker/u32:2:/(29759) 16004 f2fs_ckpt-254:6:/(818) 3568 aoapp.musically:top(23882) 2416
09-18 16:57:54.000  1810  2015 I UMR     : B|Compact com.android.vending:background(14846)
09-18 16:57:54.315  1810  3566 D MARs:ActiveTrafficFilter: filter : br.com.wanotifkeeper(0)
