$ adb shell ps -A
USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0    2424000   5324 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 S [pool_workqueue_release]
root             4     2          0      0 0                   0 I [kworker/R-kvfree_rcu_reclaim]
root             5     2          0      0 0                   0 I [kworker/R-rcu_gp]
root             6     2          0      0 0                   0 I [kworker/R-sync_wq]
root             7     2          0      0 0                   0 I [kworker/R-slub_flushwq]
root             8     2          0      0 0                   0 I [kworker/R-netns]
root            13     2          0      0 0                   0 I [kworker/R-mm_percpu_wq]
root            15     2          0      0 0                   0 I [rcu_tasks_kthread]
root            16     2          0      0 0                   0 I [rcu_tasks_trace_kthread]
root            17     2          0      0 0                   0 S [ksoftirqd/0]
root            18     2          0      0 0                   0 I [rcu_preempt]
root            19     2          0      0 0                   0 S [rcuog/0]
root            20     2          0      0 0                   0 S [rcuop/0]
root            21     2          0      0 0                   0 S [rcub/0]
root            22     2          0      0 0                   0 S [rcu_exp_par_gp_kthread_worker/0]
root            23     2          0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            24     2          0      0 0                   0 S [migration/0]
root            25     2          0      0 0                   0 S [idle_inject/0]
root            26     2          0      0 0                   0 S [cpuhp/0]
root            27     2          0      0 0                   0 S [cpuhp/1]
root            28     2          0      0 0                   0 S [idle_inject/1]
root            29     2          0      0 0                   0 S [migration/1]
root            30     2          0      0 0                   0 S [ksoftirqd/1]
root            33     2          0      0 0                   0 S [rcuop/1]
root            34     2          0      0 0                   0 S [cpuhp/2]
root            35     2          0      0 0                   0 S [idle_inject/2]
root            36     2          0      0 0                   0 S [migration/2]
root            37     2          0      0 0                   0 S [ksoftirqd/2]
root            40     2          0      0 0                   0 S [rcuop/2]
root            41     2          0      0 0                   0 S [cpuhp/3]
root            42     2          0      0 0                   0 S [idle_inject/3]
root            43     2          0      0 0                   0 S [migration/3]
root            44     2          0      0 0                   0 S [ksoftirqd/3]
root            47     2          0      0 0                   0 S [rcuop/3]
root            48     2          0      0 0                   0 S [cpuhp/4]
root            49     2          0      0 0                   0 S [idle_inject/4]
root            50     2          0      0 0                   0 S [migration/4]
root            51     2          0      0 0                   0 S [ksoftirqd/4]
root            54     2          0      0 0                   0 S [rcuog/4]
root            55     2          0      0 0                   0 S [rcuop/4]
root            56     2          0      0 0                   0 S [cpuhp/5]
root            57     2          0      0 0                   0 S [idle_inject/5]
root            58     2          0      0 0                   0 S [migration/5]
root            59     2          0      0 0                   0 S [ksoftirqd/5]
root            62     2          0      0 0                   0 S [rcuop/5]
root            63     2          0      0 0                   0 S [cpuhp/6]
root            64     2          0      0 0                   0 S [idle_inject/6]
root            65     2          0      0 0                   0 S [migration/6]
root            66     2          0      0 0                   0 S [ksoftirqd/6]
root            69     2          0      0 0                   0 S [rcuop/6]
root            70     2          0      0 0                   0 S [cpuhp/7]
root            71     2          0      0 0                   0 S [idle_inject/7]
root            72     2          0      0 0                   0 S [migration/7]
root            73     2          0      0 0                   0 S [ksoftirqd/7]
root            76     2          0      0 0                   0 S [rcuop/7]
root            77     2          0      0 0                   0 I [kworker/R-inet_frag_wq]
root            78     2          0      0 0                   0 S [kauditd]
root            79     2          0      0 0                   0 S [khungtaskd]
root            80     2          0      0 0                   0 S [oom_reaper]
root            81     2          0      0 0                   0 I [kworker/R-writeback]
root            82     2          0      0 0                   0 S [kcompactd0]
root            83     2          0      0 0                   0 I [kworker/R-kblockd]
root            88     2          0      0 0                   0 I [kworker/R-edac-poller]
root            89     2          0      0 0                   0 I [kworker/R-devfreq_wq]
root            90     2          0      0 0                   0 S [watchdogd]
root            92     2          0      0 0                   0 I [kworker/R-quota_release_wq]
root            96     2          0      0 0                   0 S [kswapd0]
root           123     2          0      0 0                   0 I [kworker/R-nvme-wq]
root           124     2          0      0 0                   0 I [kworker/R-nvme-reset-wq]
root           125     2          0      0 0                   0 I [kworker/R-nvme-delete-wq]
root           126     2          0      0 0                   0 I [kworker/R-vfio-irqfd-cleanup]
root           127     2          0      0 0                   0 I [kworker/R-uas]
root           128     2          0      0 0                   0 I [kworker/R-dm_bufio_cache]
root           129     2          0      0 0                   0 I [kworker/R-mld]
root           130     2          0      0 0                   0 I [kworker/R-ipv6_addrconf]
root           131     2          0      0 0                   0 I [kworker/R-kstrp]
root           133     2          0      0 0                   0 I [kworker/R-five_wq]
root           136     2          0      0 0                   0 I [kworker/R-sec_abc_wq]
root           137     2          0      0 0                   0 I [kworker/R-bootc_wq]
root           138     2          0      0 0                   0 I [kworker/R-mt-wdk]
root           139     2          0      0 0                   0 D [wdtk-0]
root           140     2          0      0 0                   0 D [wdtk-1]
root           141     2          0      0 0                   0 D [wdtk-2]
root           142     2          0      0 0                   0 D [wdtk-3]
root           143     2          0      0 0                   0 D [wdtk-4]
root           144     2          0      0 0                   0 D [wdtk-5]
root           145     2          0      0 0                   0 D [wdtk-6]
root           146     2          0      0 0                   0 D [wdtk-7]
root           147     2          0      0 0                   0 D [hang_detect]
root           148     2          0      0 0                   0 S [hang_detect1]
root           149     2          0      0 0                   0 S [hwrng]
root           152     2          0      0 0                   0 S [spi0]
root           153     2          0      0 0                   0 S [spi1]
root           154     2          0      0 0                   0 S [spi2]
root           155     2          0      0 0                   0 S [spi3]
root           156     2          0      0 0                   0 S [spi4]
root           157     2          0      0 0                   0 S [spi5]
root           158     2          0      0 0                   0 S [dmabuf-deferred-free-worker]
root           159     2          0      0 0                   0 S [dma_pool_fill_thread]
root           164     2          0      0 0                   0 S [cmdq_irq_thread]
root           165     2          0      0 0                   0 I [kworker/R-cmdq_buf_dump]
root           166     2          0      0 0                   0 I [kworker/R-cmdq_timeout_handler]
root           167     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           168     2          0      0 0                   0 I [kworker/R-cmdq_vcp_power_handler]
root           169     2          0      0 0                   0 I [kworker/R-cmdq_pkt_destroy_wq]
root           170     2          0      0 0                   0 D [cmdq_buffer_usage]
root           171     2          0      0 0                   0 I [kworker/R-panel0:disp-det]
root           172     2          0      0 0                   0 I [kworker/R-panel0:pcd]
root           173     2          0      0 0                   0 I [kworker/R-panel0:err-fg]
root           174     2          0      0 0                   0 I [kworker/R-panel0:conn-det]
root           175     2          0      0 0                   0 I [kworker/R-panel0:panel-condition-check]
root           176     2          0      0 0                   0 I [kworker/R-panel0:panel-update]
root           177     2          0      0 0                   0 I [kworker/R-panel0:evasion-disp-det]
root           178     2          0      0 0                   0 I [kworker/R-panel0:late_probe]
root           179     2          0      0 0                   0 S [panel-bl-thread]
root           180     2          0      0 0                   0 I [kworker/R-abd_blank_workqueue]
root           181     2          0      0 0                   0 I [kworker/R-wq_vsync]
root           182     2          0      0 0                   0 I [kworker/R-wq_fsync]
root           183     2          0      0 0                   0 I [kworker/R-wq_dispon]
root           184     2          0      0 0                   0 I [kworker/R-wq_panel_probe]
root           185     2          0      0 0                   0 S [card0-crtc0]
root           186     2          0      0 0                   0 S [card0-crtc1]
root           187     2          0      0 0                   0 S [card0-crtc2]
root           188     2          0      0 0                   0 S [card0-crtc3]
root           189     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           190     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
