$ adb shell getprop
[Build.BRAND]: [MTK]
[aaudio.mmap_exclusive_policy]: [2]
[aaudio.mmap_policy]: [2]
[apex.all.ready]: [true]
[avf.remote_attestation.enabled]: [0]
[bluetooth.device.class_of_device]: [90,2,12]
[bluetooth.profile.a2dp.sink.enabled]: [false]
[bluetooth.profile.a2dp.source.enabled]: [true]
[bluetooth.profile.asha.central.enabled]: [false]
[bluetooth.profile.avrcp.controller.enabled]: [false]
[bluetooth.profile.avrcp.target.enabled]: [true]
[bluetooth.profile.bap.broadcast.assist.enabled]: [false]
[bluetooth.profile.bap.broadcast.source.enabled]: [false]
[bluetooth.profile.bap.unicast.client.enabled]: [false]
[bluetooth.profile.bas.client.enabled]: [false]
[bluetooth.profile.ccp.server.enabled]: [false]
[bluetooth.profile.csip.set_coordinator.enabled]: [false]
[bluetooth.profile.gatt.enabled]: [true]
[bluetooth.profile.hap.client.enabled]: [false]
[bluetooth.profile.hfp.ag.enabled]: [true]
[bluetooth.profile.hid.device.enabled]: [true]
[bluetooth.profile.hid.host.enabled]: [true]
[bluetooth.profile.map.server.enabled]: [true]
[bluetooth.profile.mcp.server.enabled]: [false]
[bluetooth.profile.opp.enabled]: [false]
[bluetooth.profile.pan.nap.enabled]: [true]
[bluetooth.profile.pan.panu.enabled]: [true]
[bluetooth.profile.pbap.server.enabled]: [true]
[bluetooth.profile.sap.server.enabled]: [true]
[bluetooth.profile.vcp.controller.enabled]: [false]
[bootreceiver.enable]: [1]
[build.version.extensions.ad_services]: [22]
[build.version.extensions.b]: [22]
[build.version.extensions.r]: [22]
[build.version.extensions.s]: [22]
[build.version.extensions.t]: [22]
[build.version.extensions.u]: [22]
[build.version.extensions.v]: [22]
[cache_key.bluetooth.bluetooth_adapter_get_connection_state]: [-595683720862195852]
[cache_key.bluetooth.bluetooth_adapter_get_profile_connection_state]: [-595683720862195853]
[cache_key.bluetooth.bluetooth_adapter_is_offloaded_filtering_supported]: [-595683720862196152]
[cache_key.bluetooth.bluetooth_device_get_bond_state]: [-595683720862196148]
[cache_key.bluetooth.bluetooth_map_get_connection_state]: [-595683720862196145]
[cache_key.bluetooth.bluetooth_sap_get_connection_state]: [-595683720862196144]
[cache_key.telephony.phone_account_to_subid]: [-931873065367893919]
[cache_key.telephony.subscription_manager_service]: [-931873065367893998]
[camera.disable_zsl_mode]: [1]
[com.samsung.speg.cache_mode]: [true]
[dalvik.vm.appimageformat]: [lz4]
[dalvik.vm.boot-dex2oat-threads]: [8]
[dalvik.vm.dex2oat-Xms]: [64m]
[dalvik.vm.dex2oat-Xmx]: [512m]
[dalvik.vm.dex2oat-cpu-set]: []
[dalvik.vm.dex2oat-max-image-block-size]: [524288]
[dalvik.vm.dex2oat-minidebuginfo]: [true]
[dalvik.vm.dex2oat-resolve-startup-strings]: [true]
[dalvik.vm.dex2oat-threads]: []
[dalvik.vm.dexopt.secondary]: [true]
[dalvik.vm.dexopt.thermal-cutoff]: [2]
[dalvik.vm.enable_pr_dexopt]: [true]
[dalvik.vm.finalizer-timeout-ms]: [60000]
[dalvik.vm.heapgrowthlimit]: [256m]
[dalvik.vm.heapmaxfree]: [16m]
[dalvik.vm.heapminfree]: [8m]
[dalvik.vm.heapsize]: [512m]
[dalvik.vm.heapstartsize]: [8m]
[dalvik.vm.heaptargetutilization]: [0.6]
[dalvik.vm.image-dex2oat-Xms]: [64m]
[dalvik.vm.image-dex2oat-Xmx]: [64m]
[dalvik.vm.isa.arm.features]: [default]
[dalvik.vm.isa.arm.variant]: [cortex-a55]
[dalvik.vm.isa.arm64.features]: [default]
[dalvik.vm.isa.arm64.variant]: [cortex-a55]
[dalvik.vm.lockprof.threshold]: [500]
[dalvik.vm.madvise.odexfile.size]: [104857600]
[dalvik.vm.madvise.vdexfile.size]: [104857600]
[dalvik.vm.minidebuginfo]: [true]
[dalvik.vm.mtk-stack-trace-file]: [/data/anr/mtk_traces.txt]
[dalvik.vm.ps-min-first-save-ms]: [150000]
[dalvik.vm.systemuicompilerfilter]: [speed]
[dalvik.vm.thread-suspend-timeout-ms]: [8000]
[dalvik.vm.usap_pool_enabled]: [false]
[dalvik.vm.usap_pool_refill_delay_ms]: [3000]
[dalvik.vm.usap_pool_size_max]: [3]
[dalvik.vm.usap_pool_size_min]: [1]
[dalvik.vm.usap_refill_threshold]: [1]
[dalvik.vm.useartservice]: [true]
[dalvik.vm.usejit]: [true]
[debug.atrace.tags.enableflags]: [0]
[debug.force_rtl]: [false]
[debug.gpuwatch.status]: [false]
[debug.graphics.game_default_frame_rate.disabled]: [true]
[debug.hwui.initialize_gl_always]: [1]
[debug.hwui.skia_tracing_enabled]: [false]
[debug.hwui.skia_use_perfetto_track_events]: [false]
[debug.mediatek.appgamepq_compress]: [1]
[debug.mediatek.disp_decompress]: [1]
[debug.mtk_tflite.target_nnapi]: [29]
[debug.perfetto.sdk_sysprop_guard_generation]: [0]
[debug.perfmond.default.perfetto]: [1]
[debug.renderengine.skia_tracing_enabled]: [false]
[debug.renderengine.skia_use_perfetto_track_events]: [false]
[debug.sf.disable_backpressure]: [1]
[debug.sf.enable_gl_backpressure]: [0]
[debug.sf.enable_hwc_vds]: [0]
[debug.sf.enable_transaction_tracing]: [false]
[debug.sf.predict_hwc_composition_strategy]: [0]
[debug.sf.treat_170m_as_sRGB]: [1]
[debug.stagefright.c2inputsurface]: [-1]
[debug.tracing.battery_status]: [5]
[debug.tracing.device_state]: [0:DEFAULT]
[debug.tracing.mcc]: [748]
[debug.tracing.mnc]: [1]
[debug.tracing.plug_type]: [2]
[debug.tracing.screen_brightness]: [0.38039216]
[debug.tracing.screen_state]: [2]
[dev.anomaly.support.config_part]: [true]
[dev.anomaly.support.config_signature]: [true]
[dev.anomaly.support.config_usage_condition]: [true]
[dev.anomaly.version]: [4.1.0]
[dev.boot.0.user_unlocked]: [FAIL-finishUserUnlocking]
[dev.boot_count]: [0]
[dev.bootcomplete]: [1]
[dev.mnt.blk.cache]: [sdc56]
[dev.mnt.blk.data]: [sdc58]
[dev.mnt.blk.data.user.0]: [sdc58]
[dev.mnt.blk.data_mirror.cur_profiles]: [sdc58]
[dev.mnt.blk.data_mirror.data_ce.null]: [sdc58]
[dev.mnt.blk.data_mirror.data_ce.null.0]: [sdc58]
[dev.mnt.blk.data_mirror.data_de.null]: [sdc58]
[dev.mnt.blk.data_mirror.misc_ce.null]: [sdc58]
[dev.mnt.blk.data_mirror.misc_de.null]: [sdc58]
[dev.mnt.blk.data_mirror.ref_profiles]: [sdc58]
[dev.mnt.blk.data_mirror.storage_area]: [sdc58]
[dev.mnt.blk.efs]: [sdc3]
[dev.mnt.blk.metadata]: [sdc30]
[dev.mnt.blk.mnt.vendor.efs]: [sdc2]
[dev.mnt.blk.mnt.vendor.nvcfg]: [sdc28]
[dev.mnt.blk.mnt.vendor.nvdata]: [sdc29]
[dev.mnt.blk.mnt.vendor.protect_f]: [sdc19]
[dev.mnt.blk.mnt.vendor.protect_s]: [sdc20]
[dev.mnt.blk.odm]: [sdc53]
[dev.mnt.blk.odm_dlkm]: [sdc53]
[dev.mnt.blk.omr]: [sdc57]
[dev.mnt.blk.optics]: [sdc55]
[dev.mnt.blk.prism]: [sdc54]
[dev.mnt.blk.product]: [sdc53]
[dev.mnt.blk.root]: [sdc53]
[dev.mnt.blk.system_dlkm]: [sdc53]
[dev.mnt.blk.system_ext]: [sdc53]
[dev.mnt.blk.vendor]: [sdc53]
[dev.mnt.blk.vendor_dlkm]: [sdc53]
[dev.mnt.dev.cache]: [sdc56]
[dev.mnt.dev.data]: [dm-66]
[dev.mnt.dev.data.user.0]: [dm-66]
[dev.mnt.dev.data_mirror.cur_profiles]: [dm-66]
[dev.mnt.dev.data_mirror.data_ce.null]: [dm-66]
[dev.mnt.dev.data_mirror.data_ce.null.0]: [dm-66]
[dev.mnt.dev.data_mirror.data_de.null]: [dm-66]
[dev.mnt.dev.data_mirror.misc_ce.null]: [dm-66]
[dev.mnt.dev.data_mirror.misc_de.null]: [dm-66]
[dev.mnt.dev.data_mirror.ref_profiles]: [dm-66]
[dev.mnt.dev.data_mirror.storage_area]: [dm-66]
[dev.mnt.dev.efs]: [sdc3]
[dev.mnt.dev.metadata]: [sdc30]
[dev.mnt.dev.mnt.vendor.efs]: [sdc2]
[dev.mnt.dev.mnt.vendor.nvcfg]: [sdc28]
[dev.mnt.dev.mnt.vendor.nvdata]: [sdc29]
[dev.mnt.dev.mnt.vendor.protect_f]: [sdc19]
[dev.mnt.dev.mnt.vendor.protect_s]: [sdc20]
[dev.mnt.dev.odm]: [dm-12]
[dev.mnt.dev.odm_dlkm]: [dm-14]
[dev.mnt.dev.omr]: [sdc57]
[dev.mnt.dev.optics]: [dm-17]
[dev.mnt.dev.prism]: [dm-16]
[dev.mnt.dev.product]: [dm-11]
[dev.mnt.dev.root]: [dm-8]
[dev.mnt.dev.system_dlkm]: [dm-15]
[dev.mnt.dev.system_ext]: [dm-9]
[dev.mnt.dev.vendor]: [dm-10]
[dev.mnt.dev.vendor_dlkm]: [dm-13]
[dev.mnt.rootdisk.cache]: [sdc]
[dev.mnt.rootdisk.data]: [sdc]
[dev.mnt.rootdisk.data.user.0]: [sdc]
[dev.mnt.rootdisk.data_mirror.cur_profiles]: [sdc]
[dev.mnt.rootdisk.data_mirror.data_ce.null]: [sdc]
[dev.mnt.rootdisk.data_mirror.data_ce.null.0]: [sdc]
[dev.mnt.rootdisk.data_mirror.data_de.null]: [sdc]
[dev.mnt.rootdisk.data_mirror.misc_ce.null]: [sdc]
[dev.mnt.rootdisk.data_mirror.misc_de.null]: [sdc]
[dev.mnt.rootdisk.data_mirror.ref_profiles]: [sdc]
[dev.mnt.rootdisk.data_mirror.storage_area]: [sdc]
[dev.mnt.rootdisk.efs]: [sdc]
[dev.mnt.rootdisk.metadata]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.efs]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.nvcfg]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.nvdata]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.protect_f]: [sdc]
[dev.mnt.rootdisk.mnt.vendor.protect_s]: [sdc]
[dev.mnt.rootdisk.odm]: [sdc]
[dev.mnt.rootdisk.odm_dlkm]: [sdc]
[dev.mnt.rootdisk.omr]: [sdc]
[dev.mnt.rootdisk.optics]: [sdc]
